timestamp,sim_time_sec,position_rad,velocity_rad_s,effort_Nm,acceleration_rad_s2
1765048104.8821447,0.27,-1.4834455843172745,-7.538607057605151,0.06479821154427579,16.23849562287059
1765048104.892404,0.28,-1.5576676377103225,-7.320949095066435,0.06327460580650479,21.215487971647978
1765048104.9038553,0.29,-1.6294970793617303,-7.064385997737211,0.061478664125200165,22.404822514685737
1765048104.9133716,0.3,-1.6985592787513237,-6.771594254729962,0.05942912192414945,30.767589789604546
1765048104.924039,0.31,-1.7645082148783422,-6.445573561183665,0.05714697706932538,30.562556412856065
1765048104.9352424,0.32,-1.8270292548063969,-6.089563963540367,0.054654909885822285,31.77656315961946
1765048104.9459374,0.33,-1.885841098193334,-5.706962705059363,0.05197670107645526,35.77390853029356
1765048104.9565525,0.34,-1.9406969090764652,-5.301245082940319,0.04913667772162194,38.22076332062962
1765048104.9669302,0.35,-1.99138469512267,-4.875892836176719,0.046159211994276736,40.987355664519825
1765048104.9770567,0.36,-2.0377270245866788,-4.4343326305514355,0.04306829055489977,43.604033919455446
1765048104.9874082,0.37,-2.079580191395507,-3.979886210535749,0.03988716561478993,43.90184575759436
1765048104.9978366,0.38,-2.1168329492122107,-3.5157328452831056,0.036638092058021425,44.50846631213129
1765048105.0079687,0.39,-2.1494049369820036,-3.044883878134905,0.03334214928798401,46.47113222828828
1765048105.018201,0.4,-2.1772449128255404,-2.570168537007872,0.03001914190009481,46.39313234890902
1765048105.0285645,0.41,-2.200328901971015,-2.0942296904397097,0.026687569974117666,45.92523541804656
1765048105.0389051,0.42,-2.218658349475716,-1.6195279332486767,0.02336465767378046,45.90619475683341
1765048105.049274,0.43,-2.2322583513844805,-1.1483522347376134,0.020066427784202995,45.44157546488266
1765048105.0595837,0.44,-2.241176020047214,-0.6828353518141781,0.01680780960373893,45.1533075277114
1765048105.0697885,0.45,-2.245479021604329,-0.22497226840934567,0.013602768019905141,44.86745858084253
1765048105.0798821,0.46,-2.2453767339167543,0.1831141468260367,-0.013309761168822,40.42985836563268
1765048105.0899947,0.47,-2.2415623973665366,0.5421952196291153,-0.01582332867844355,35.50855074813731
1765048105.1003616,0.48,-2.2342148909014035,0.8905915609634795,-0.0182621030677841,33.606553701395725
1765048105.1108208,0.49,-2.2234484589721593,1.2269661313850642,-0.020616725060735173,32.16068764315426
1765048105.120996,0.5,-2.2093904410533636,1.550030932137621,-0.022878178666003075,31.750128545284518
1765048105.131286,0.51,-2.19218081387788,1.8585414687451562,-0.025037752422255845,29.981857265810863
1765048105.1417685,0.52,-2.1719717739340108,2.151293995156338,-0.027087020107134107,27.92760689918634
1765048105.1523218,0.53,-2.1489273313899284,2.427125706330255,-0.02901784208535151,26.13686177262796
1765048105.1624837,0.54,-2.1232228856452284,2.6849179169862167,-0.030822387559943244,25.36856319091416
1765048105.1731217,0.55,-2.0950447530564116,2.9236021324486683,-0.03249317706818042,22.436947480916704
1765048105.1835861,0.56,-2.0645896190473496,3.1421687862677774,-0.03402314364491418,20.886628018958433
1765048105.1937277,0.57,-2.032063889773626,3.339678292127992,-0.035405710185935683,19.47516069463108
1765048105.2039719,0.58,-1.9976829226942572,3.515273939375356,-0.03663487971666722,17.141097252128525
1765048105.2148862,0.59,-1.9616701206935723,3.6681960583138338,-0.03770533454923656,14.011137558480796
1765048105.2254105,0.6,-1.924255880603613,3.797796799874257,-0.03861253974015953,12.314460349097217
1765048105.2359965,0.61,-1.8856763938506689,3.903554820909829,-0.03935284588740854,9.990344601733849
1765048105.246419,0.62,-1.8461723041739881,3.985089146896635,-0.03992358616931618,7.822938342073986
1765048105.2570236,0.63,-1.8059872345782495,4.042171502167983,-0.04032316265621561,5.382781785652484
1765048105.2670798,0.64,-1.7653662024952548,4.074736455471141,-0.04055111732933771,3.238277671335234
1765048105.2779148,0.65,-1.7245539481571022,4.082888824097718,-0.040608183909723754,0.7524152786868419
1765048105.287773,0.66,-1.6837932060679948,4.066907908412066,-0.04049631749992418,-1.6210897403499898
1765048105.297864,0.67,-1.6433229529137463,4.027248282596127,-0.04021870011921261,-3.930171936167656
1765048105.3084602,0.68,-1.603376667066646,3.9645370367390336,-0.03977972139821295,-5.918234842574719
1765048105.319206,0.69,-1.5641806349385479,3.879567538416777,-0.03918493490995716,-7.907255367997901
1765048105.3293552,0.7,-1.5259523378358888,3.773289946646095,-0.03844099176756239,-10.471482258783137
1765048105.3400018,0.71,-1.4888989498221732,3.646798856385089,-0.03755555413573535,-11.880911115129283
1765048105.3502045,0.72,-1.4532159726437892,3.5013185683152006,-0.036537192119246116,-14.259074011466486
1765048105.3609498,0.73,-1.419086028349592,3.338186559931867,-0.035395268060562785,-15.181726581247638
1765048105.3713973,0.74,-1.3866778242072324,3.1588357766674413,-0.03413981257771181,-17.16685777382733
1765048105.3827436,0.75,-1.3561452982785158,2.964776365849745,-0.032781396701987944,-17.10326041248808
1765048105.3934565,0.76,-1.3276269479339955,2.75757744476907,-0.031331004254423214,-19.34113599101682
1765048105.4038377,0.77,-1.3012453379914424,2.5388494324380915,-0.029799908168106362,-21.069582863255533
1765048105.414504,0.78,-1.2771067803171543,2.3102273899130203,-0.028199553870430865,-21.43391183001198
1765048105.4251134,0.79,-1.2553011728200634,2.0733557142700567,-0.026541452140930108,-22.326609960583045
1765048105.4355128,0.8,-1.235901982902552,1.8298744245128646,-0.024837083112629766,-23.413144746520928
1765048105.4455526,0.81,-1.2189663586377733,1.5814071712172428,-0.023097812339560424,-24.74821169239705
1765048105.4558713,0.82,-1.204535350182027,1.3295510018860548,-0.0213348191542421,-24.40760948360627
1765048105.4662597,0.83,-1.1926342241077812,1.0758678256889282,-0.01955903692086221,-24.41991096705023
1765048105.4765904,0.84,-1.1832728543230042,0.8218774479083732,-0.017781104276398313,-24.586034098465102
1765048105.4873908,0.85,-1.176446174864016,0.569051987986866,-0.01601132605694776,-23.408980968004805
1765048105.4974475,0.86,-1.172134681938025,0.31881145628131324,-0.014259642335008899,-24.882882413758008
1765048105.5081875,0.87,-1.170304974972494,0.07252024315370864,-0.012535603843115672,-22.932053641440373
1765048105.5184646,0.88,-1.1706845525322644,-0.11261235390831785,0.012816248618397953,-18.014206991941677
1765048105.5289752,0.89,-1.1726786793973416,-0.26971771131327554,0.013915986120232655,-14.947207190315154
1765048105.5395558,0.9,-1.1762162039640736,-0.42167937480028284,0.0149797177646417,-14.36237354117375
1765048105.549766,0.91,-1.1812415473907072,-0.5677511652788165,0.016002220297991445,-14.30635131561648
1765048105.5601044,0.92,-1.1876919257451546,-0.7072338805809262,0.01697859930510621,-13.49183411103039
1765048105.5705953,0.93,-1.1954978308627189,-0.8394773072999973,0.017904303292139715,-12.605543694866295
1765048105.58092,0.94,-1.2045835311932402,-0.9638822108195109,0.018775137616776294,-12.049231831232191
1765048105.5920732,0.95,-1.2148675924488193,-1.0799023064691582,0.019587278286323832,-10.402384593067515
1765048105.6027515,0.96,-1.2262634178069862,-1.1870461993194679,0.020337285536275992,-10.033805000393526
1765048105.613289,0.97,-1.2386798072204532,-1.2848792660476904,0.02102211700337356,-9.284167227260301
